traditional,simplified,pinyin_numbered,cvdict_meaning,hanzii_pinyin,hanzii_meaning,hanzii_part_of_speech,hanzii_collocations_json,hanzii_examples_json,hanzii_status
季世,季世,ji4 shi4,giai đoạn cuối; kết thúc của một kỷ nguyên lịch sử,,,,[],[],not_crawled
季候,季候,ji4 hou4,mùa,,,,[],[],not_crawled
季冬,季冬,ji4 dong1,tháng cuối của mùa đông (tức là tháng mười hai âm lịch),,,,[],[],not_crawled
季刊,季刊,ji4 kan1,ấn phẩm hàng quý,,,,[],[],not_crawled
季報,季报,ji4 bao4,báo cáo hàng quý,,,,[],[],not_crawled
季夏,季夏,ji4 xia4,tháng cuối cùng của mùa hè (tức là tháng sáu âm lịch),,,,[],[],not_crawled
季子,季子,ji4 zi3,em trai út; một giai đoạn hai hoặc ba tháng,,,,[],[],not_crawled
季度,季度,ji4 du4,quý của một năm; mùa (thể thao),,,,[],[],not_crawled
季後賽,季后赛,ji4 hou4 sai4,vòng đấu loại,,,,[],[],not_crawled
季春,季春,ji4 chun1,tháng cuối cùng của mùa xuân (tức là tháng ba âm lịch),,,,[],[],not_crawled
季會,季会,ji4 hui4,cuộc họp hàng quý,,,,[],[],not_crawled
季父,季父,ji4 fu4,chú (em trai út của bố),,,,[],[],not_crawled
季相,季相,ji4 xiang4,tính chất đặc trưng của một mùa,,,,[],[],not_crawled
季節,季节,ji4 jie2,thời gian; mùa; giai đoạn,,,,[],[],not_crawled
季節性,季节性,ji4 jie2 xing4,theo mùa,,,,[],[],not_crawled
季經,季经,ji4 jing1,kinh nguyệt; kỳ kinh đều đặn,,,,[],[],not_crawled
季羨林,季羡林,Ji4 Xian4 lin2,"Ji Xianlin (1911-2009), nhà ngôn ngữ học và nhà Ấn Độ học Trung Quốc",,,,[],[],not_crawled
季肋,季肋,ji4 lei4,hạ sườn (giải phẫu),,,,[],[],not_crawled
季莫申科,季莫申科,Ji4 mo4 shen1 ke1,"Tymoshenko (tên); Yulia Tymoshenko (1960-), chính trị gia Ukraina",,,,[],[],not_crawled
季諾,季诺,ji4 nuo4,lời hứa có thể thực hiện được,,,,[],[],not_crawled
季路,季路,Ji4 Lu4,"Ji Lu (542-480 TCN), môn đệ của Khổng Tử 孔夫子[Kong3 fu1 zi3], còn được biết đến là Tử Lộ 子路[Zi3 Lu4]",,,,[],[],not_crawled
季軍,季军,ji4 jun1,hạng ba trong một cuộc đua; đoạt huy chương đồng,,,,[],[],not_crawled
季雨林,季雨林,ji4 yu3 lin2,rừng gió mùa,,,,[],[],not_crawled
季風,季风,ji4 feng1,gió mùa,,,,[],[],not_crawled
季黎諾,季黎诺,Ji4 li2 nuo4,"Quirinius, thống đốc Syria (khoảng 51 TCN - 21 SCN)",,,,[],[],not_crawled
孤,孤,gu1,cô đơn; cô độc,,,,[],[],not_crawled
孤傲,孤傲,gu1 ao4,tự hào và xa cách,,,,[],[],not_crawled
孤僻,孤僻,gu1 pi4,khó gần; thu mình; lập dị,,,,[],[],not_crawled
孤兒,孤儿,gu1 er2,trẻ mồ côi,,,,[],[],not_crawled
孤兒藥,孤儿药,gu1 er2 yao4,thuốc hiếm,,,,[],[],not_crawled
孤兒院,孤儿院,gu1 er2 yuan4,trại trẻ mồ côi; nhà dưỡng nhi,,,,[],[],not_crawled
孤哀子,孤哀子,gu1 ai1 zi3,(văn học) trẻ mồ côi,,,,[],[],not_crawled
孤單,孤单,gu1 dan1,đơn độc; cô đơn; nỗi cô đơn,,,,[],[],not_crawled
孤孀,孤孀,gu1 shuang1,quả phụ,,,,[],[],not_crawled
孤子,孤子,gu1 zi3,trẻ mồ côi; con không cha,,,,[],[],not_crawled
孤孑,孤孑,gu1 jie2,cô đơn; đơn độc,,,,[],[],not_crawled
孤孑特立,孤孑特立,gu1 jie2 te4 li4,một mình trên thế gian,,,,[],[],not_crawled
孤家寡人,孤家寡人,gu1 jia1 gua3 ren2,người bị cô lập (thành ngữ); người chọn con đường đơn độc; (cũng có thể là cách nói gián tiếp về người chưa kết hôn),,,,[],[],not_crawled
孤寂,孤寂,gu1 ji4,cô đơn; hoang vắng,,,,[],[],not_crawled
孤寒,孤寒,gu1 han2,cô đơn và nghèo khó; khiêm nhường; (tiếng Quảng Đông) keo kiệt,,,,[],[],not_crawled
孤寡,孤寡,gu1 gua3,trẻ mồ côi và góa phụ; cô đơn; sự cô đơn,,,,[],[],not_crawled
孤山,孤山,Gu1 Shan1,"Đồi Cô, nằm ở Tây Hồ, Hàng Châu, tỉnh Chiết Giang",,,,[],[],not_crawled
孤山,孤山,gu1 shan1,đỉnh núi cô lập,,,,[],[],not_crawled
孤島,孤岛,gu1 dao3,hòn đảo cô lập,,,,[],[],not_crawled
孤征,孤征,gu1 zheng1,tự hành động một mình; chiến đấu một mình,,,,[],[],not_crawled
孤拐,孤拐,gu1 guai3,xương gò má; mắt cá chân,,,,[],[],not_crawled
孤拔,孤拔,Gu1 ba2,"Amédée Courbet (1826-1885), đô đốc Pháp đã giành được một loạt chiến thắng quan trọng trên đất liền và trên biển trong chiến dịch Bắc Kỳ và Chiến tranh Pháp-Thanh",,,,[],[],not_crawled
孤掌難鳴,孤掌难鸣,gu1 zhang3 nan2 ming2,Khó vỗ tay chỉ với một bàn tay.; Phải có đôi mới làm nên chuyện.; Khó đạt được điều gì nếu không có sự hỗ trợ.,,,,[],[],not_crawled
孤沙錐,孤沙锥,gu1 sha1 zhui1,(loài chim ở Trung Quốc) chim dẽ gà đơn độc (Gallinago solitaria),,,,[],[],not_crawled
孤注一擲,孤注一掷,gu1 zhu4 yi1 zhi4,đánh cược tất cả vào một lần,,,,[],[],not_crawled
孤獨,孤独,gu1 du2,cô đơn; đơn độc,,,,[],[],not_crawled
孤獨於世,孤独于世,gu1 du2 yu2 shi4,một mình trên đời (thành ngữ),,,,[],[],not_crawled
孤獨症,孤独症,gu1 du2 zheng4,chứng tự kỷ,,,,[],[],not_crawled
孤男寡女,孤男寡女,gu1 nan2 gua3 nu:3,một người đàn ông độc thân và một người phụ nữ độc thân; người độc thân; một nam một nữ ở cùng nhau (thường trong bối cảnh riêng tư),,,,[],[],not_crawled
孤立,孤立,gu1 li4,cô lập; bị cô lập; không liên quan; không phù hợp,,,,[],[],not_crawled
孤立子,孤立子,gu1 li4 zi3,soliton (vật lý),,,,[],[],not_crawled
孤立子波,孤立子波,gu1 li4 zi3 bo1,instanton (toán học),,,,[],[],not_crawled
孤立無援,孤立无援,gu1 li4 wu2 yuan2,bị cô lập và không có sự giúp đỡ,,,,[],[],not_crawled
孤絕,孤绝,gu1 jue2,cô lập; đơn độc,,,,[],[],not_crawled
孤老,孤老,gu1 lao3,người già cô đơn; khách quen (ở nhà thổ),,,,[],[],not_crawled
孤膽,孤胆,gu1 dan3,anh hùng đơn độc; người lập dị,,,,[],[],not_crawled
孤膽英雄,孤胆英雄,gu1 dan3 ying1 xiong2,anh hùng đơn độc; người lập dị,,,,[],[],not_crawled
孤芳自賞,孤芳自赏,gu1 fang1 zi4 shang3,bông hoa cô độc tự thưởng thức (thành ngữ); tự yêu bản thân; tự luyến,,,,[],[],not_crawled
孤苦伶仃,孤苦伶仃,gu1 ku3 ling2 ding1,cô đơn và nghèo khổ (thành ngữ),,,,[],[],not_crawled
孤苦零丁,孤苦零丁,gu1 ku3 ling2 ding1,biến thể của 孤苦伶仃[gu1 ku3 ling2 ding1],,,,[],[],not_crawled
孤證,孤证,gu1 zheng4,bằng chứng duy nhất,,,,[],[],not_crawled
孤證不立,孤证不立,gu1 zheng4 bu4 li4,không chấp nhận nếu bằng chứng không được chứng thực (trong pháp luật hoặc nghiên cứu văn bản),,,,[],[],not_crawled
孤負,孤负,gu1 fu4,biến thể của 辜負|辜负[gu1fu4],,,,[],[],not_crawled
孤身,孤身,gu1 shen1,một mình; cô đơn,,,,[],[],not_crawled
孤身隻影,孤身只影,gu1 shen1 zhi1 ying3,nghĩa đen: một thân cô đơn chỉ có cái bóng làm bạn; một mình một bóng (thành ngữ),,,,[],[],not_crawled
孤軍奮戰,孤军奋战,gu1 jun1 fen4 zhan4,nghĩa đen: quân đội đơn độc dũng cảm chiến đấu (thành ngữ); nghĩa bóng: (một người hoặc một nhóm người) chiến đấu vất vả mà không có hỗ trợ,,,,[],[],not_crawled
孤陋,孤陋,gu1 lou4,thiếu hiểu biết; thiếu thông tin,,,,[],[],not_crawled
孤陋寡聞,孤陋寡闻,gu1 lou4 gua3 wen2,thiếu hiểu biết và thiếu kinh nghiệm; thiếu thông tin và thiển cận,,,,[],[],not_crawled
孤雌生殖,孤雌生殖,gu1 ci2 sheng1 zhi2,"sự sinh sản đơn tính (sinh học, một con cái sinh sản mà không thụ tinh)",,,,[],[],not_crawled
孤零零,孤零零,gu1 ling2 ling2,cô đơn; bị cô lập và không có sự giúp đỡ; một mình một bóng; đơn độc,,,,[],[],not_crawled
孤高,孤高,gu1 gao1,kiêu ngạo,,,,[],[],not_crawled
孤魂,孤魂,gu1 hun2,linh hồn cô đơn,,,,[],[],not_crawled
孤魂野鬼,孤魂野鬼,gu1 hun2 ye3 gui3,hồn ma lang thang không có hậu duệ cầu nguyện (thành ngữ); người không có gia đình hoặc bạn bè để dựa vào,,,,[],[],not_crawled
孤鳥,孤鸟,gu1 niao3,"chim đơn độc; bị gạt ra ngoài lề (quốc gia, người, v.v.)",,,,[],[],not_crawled
孤鸞年,孤鸾年,gu1 luan2 nian2,năm không tốt cho hôn nhân,,,,[],[],not_crawled
孥,孥,nu2,con; cháu,,,,[],[],not_crawled
孨,孨,zhuan3,"(tiếng lóng Internet) ba chữ 子 tượng trưng cho thành công trong cuộc sống: nhà, xe và vợ (房子[fang2 zi5], 車子|车子[che1 zi5] và 妻子[qi1 zi5]); (cổ) cẩn trọng; nhút nhát",,,,[],[],not_crawled
孩,孩,hai2,(hình thức kết hợp) trẻ con,,,,[],[],not_crawled
孩兒,孩儿,hai2 r5,trẻ con,,,,[],[],not_crawled
孩奴,孩奴,hai2 nu2,"""nô lệ của con cái"", cha mẹ làm việc chăm chỉ, làm mọi thứ để đảm bảo sự khỏe mạnh và hạnh phúc của con, mà không quan tâm đến nhu cầu của bản thân",,,,[],[],not_crawled
孩子,孩子,hai2 zi5,trẻ em,,,,[],[],not_crawled
孩子們,孩子们,hai2 zi5 men5,trẻ em,,,,[],[],not_crawled
孩子氣,孩子气,hai2 zi5 qi4,như con trai; tính trẻ con; tính trẻ con,,,,[],[],not_crawled
孩提,孩提,hai2 ti2,(văn học) trẻ sơ sinh; trẻ nhỏ,,,,[],[],not_crawled
孩童,孩童,hai2 tong2,trẻ em,,,,[],[],not_crawled
孫,孙,Sun1,họ [Sun1],,,,[],[],not_crawled
孫,孙,sun1,cháu trai; hậu duệ,,,,[],[],not_crawled
孫中山,孙中山,Sun1 Zhong1 shan1,"Tôn Trung Sơn (1866-1925), tổng thống đầu tiên của Trung Hoa Dân Quốc và là đồng sáng lập Quốc dân đảng 國民黨|国民党; giống như 孫逸仙|孙逸仙",,,,[],[],not_crawled
孫傳芳,孙传芳,Sun1 Chuan2 fang1,"Tôn Truyền Phương (1885-1935) một trong những quân phiệt miền bắc, bị sát hại ở Thiên Tân năm 1935",,,,[],[],not_crawled
孫吳,孙吴,Sun1 wu2,"huyện Tôn Ngô ở Hắc Hà 黑河[Hei1 he2], Hắc Long Giang",,,,[],[],not_crawled
孫吳縣,孙吴县,Sun1 wu2 xian4,"huyện Sunwu ở Heihe 黑河[Hei1 he2], Hắc Long Giang",,,,[],[],not_crawled
孫堅,孙坚,Sun1 Jian1,"Tôn Kiên (155-191), danh tướng cuối thời Đông Hán, tiền thân của nước Ngô thời Tam Quốc",,,,[],[],not_crawled
孫大聖,孙大圣,Sun1 da4 sheng4,Tôn Đại Thánh; Tôn Ngộ Không 孫悟空|孙悟空[Sun1 Wu4 kong1],,,,[],[],not_crawled
孫女,孙女,sun1 nu:3,con gái của con trai; cháu gái,,,,[],[],not_crawled
孫女兒,孙女儿,sun1 nu:3 r5,cháu gái (con gái của con trai),,,,[],[],not_crawled
孫女婿,孙女婿,sun1 nu:3 xu5,chồng của cháu gái; chồng của cháu nội gái,,,,[],[],not_crawled
孫媳婦,孙媳妇,sun1 xi2 fu5,vợ của cháu trai; vợ của cháu nội trai,,,,[],[],not_crawled
孫子,孙子,Sun1 zi3,"Tôn Tử, còn được biết đến là Tôn Vũ 孫武|孙武[Sun1 Wu3] (khoảng năm 500 TCN, không rõ năm sinh và mất), tướng quân, chiến lược gia và triết gia thời Xuân Thu (770-476 TCN), được cho là tác giả của ""Binh pháp Tôn Tử"" 孫子兵法|孙子兵法[Sun1 zi3 Bing1 fa3], một trong bảy tác phẩm kinh điển về quân sự của Trung Quốc cổ đại 武經七書|武经七书[Wu3 jing1 Qi1 shu1]",,,,[],[],not_crawled
孫子,孙子,sun1 zi5,cháu trai; con trai của con trai,,,,[],[],not_crawled
孫子兵法,孙子兵法,Sun1 zi3 Bing1 fa3,"""Binh pháp Tôn Tử"", một trong bảy tác phẩm kinh điển về quân sự của Trung Quốc cổ đại 武經七書|武经七书[Wu3 jing1 Qi1 shu1], được viết bởi Tôn Tử 孫子|孙子[Sun1 zi3]",,,,[],[],not_crawled
孫子定理,孙子定理,Sun1 zi5 ding4 li3,định lý số dư Trung Quốc,,,,[],[],not_crawled
孫山,孙山,Sun1 Shan1,"Tôn Sơn, kẻ hài hước và học giả tài năng thời Tống",,,,[],[],not_crawled
孫思邈,孙思邈,Sun1 Si1 miao3,"Tôn Tư Mạc (khoảng 581-682), thầy thuốc và chuyên gia thảo dược triều Tùy và Đường, tác giả cuốn ""Thiên kim yếu phương"" 千金要方[Qian1 jin1 Yao4 fang1]",,,,[],[],not_crawled
孫悅,孙悦,Sun1 Yue4,"Tôn Nhạc (1973-), ngôi sao nhạc pop nữ Trung Quốc; Tôn Nhạc (1985-), ngôi sao bóng rổ Trung Quốc",,,,[],[],not_crawled
孫悟空,孙悟空,Sun1 Wu4 kong1,"Tôn Ngộ Không, Vua Khỉ, nhân vật với năng lực siêu nhiên trong tiểu thuyết ""Tây du ký"" 西遊記|西游记[Xi1 you2 Ji4]; Son Goku, nhân vật chính trong ""Bảy viên ngọc rồng"" 七龍珠|七龙珠[Qi1 long2 zhu1]",,,,[],[],not_crawled
孫文,孙文,Sun1 Wen2,"tên gốc của 孫中山|孙中山[Sun1 Zhong1 shan1], Tôn Dật Tiên (1866-1925), tổng thống đầu tiên của Trung Hoa Dân Quốc và đồng sáng lập Quốc dân đảng 國民黨|国民党[Guo2 min2 dang3]",,,,[],[],not_crawled
孫權,孙权,Sun1 Quan2,"Tôn Quyền (trị vì 222-252), quân phiệt miền nam và vua nước Ngô 吳|吴[Wu2] thời Tam Quốc",,,,[],[],not_crawled
孫武,孙武,Sun1 Wu3,"Tôn Vũ, còn được biết đến là Tôn Tử 孫子|孙子[Sun1 zi3] (khoảng 500 TCN, không rõ năm sinh và mất), tướng quân, nhà chiến lược và triết gia thời Xuân Thu (700-475 TCN), được cho là tác giả của ""Binh pháp Tôn Tử"" 孫子兵法|孙子兵法[Sun1 zi3 Bing1 fa3], một trong bảy tác phẩm kinh điển quân sự của Trung Quốc cổ đại 武經七書|武经七书[Wu3 jing1 Qi1 shu1]",,,,[],[],not_crawled
孫武子,孙武子,Sun1 Wu3 zi3,"Tôn Vũ, tướng nổi tiếng, nhà chiến lược và triết gia Pháp gia, cùng thời với Khổng Tử 孔子[Kong3 zi3] (551-479 TCN), tác giả ""Binh pháp Tôn Tử"" 孫子兵法|孙子兵法[Sun1 zi3 Bing1 fa3], cũng được biết đến là Tôn Tử 孫子|孙子[Sun1 zi3]",,,,[],[],not_crawled
孫毓棠,孙毓棠,Sun1 Yu4 tang2,"Tôn Dục Đường (1911-1985), nhà sử học và nhà thơ, học tại Tokyo, Oxford và Harvard",,,,[],[],not_crawled
孫燕姿,孙燕姿,Sun1 Yan4 zi1,"Stefanie Sun (1978-), ca sĩ kiêm nhạc sĩ người Singapore",,,,[],[],not_crawled
孫犁,孙犁,Sun1 Li2,"Sun Li (1913-2002), tiểu thuyết gia",,,,[],[],not_crawled
孫策,孙策,Sun1 Ce4,"Tôn Sách (175-200), tướng quân và lãnh chúa thời Hậu Hán",,,,[],[],not_crawled
孫繼海,孙继海,Sun1 Ji4 hai3,"Tôn Kế Hải (1977-), cầu thủ bóng đá Trung Quốc, từng chơi cho Manchester City (2002-2008)",,,,[],[],not_crawled
孫臏,孙膑,Sun1 Bin4,"Tôn Tẫn (mất năm 316 TCN), chiến lược gia chính trị của Trường phái Tung Hoành 縱橫家|纵横家[Zong4 heng2 jia1] trong thời Chiến Quốc (425-221 TCN)",,,,[],[],not_crawled
孫臏兵法,孙膑兵法,Sun1 Bin4 Bing1 fa3,Binh pháp Tôn Tẫn,,,,[],[],not_crawled
孫行者,孙行者,Sun1 xing2 zhe3,"Tôn Ngộ Không 孫悟空|孙悟空[Sun1 Wu4 kong1], Vua Khỉ, nhân vật với sức mạnh siêu nhiên trong tiểu thuyết Tây du ký 西遊記|西游记[Xi1 you2 Ji4]",,,,[],[],not_crawled
孫誅,孙诛,Sun1 Zhu1,"Tôn Chu (1711-1778), nhà thơ và người biên soạn cuốn Tam Bách Thủ Thi Đường 唐詩三百首|唐诗三百首[Tang2 shi1 San1 bai3 Shou3]; cũng được biết đến với tên hiệu Hằng Đường Thoái Sĩ 蘅塘退士[Heng2 tang2 Tui4 shi4]",,,,[],[],not_crawled
孫逸仙,孙逸仙,Sun1 Yi4 xian1,"Bác sĩ Tôn Dật Tiên (1866-1925), tổng thống đầu tiên của Trung Hoa Dân Quốc và đồng sáng lập Quốc Dân Đảng; giống như 孫中山|孙中山",,,,[],[],not_crawled
孬,孬,nao1,(tiếng địa phương) không tốt (viết tắt của 不[bu4] + 好[hao3]),,,,[],[],not_crawled
孬種,孬种,nao1 zhong3,kẻ hèn nhát; tên vô dụng,,,,[],[],not_crawled
孭,孭,mie1,mang trên lưng hoặc vai (tiếng Quảng Đông),,,,[],[],not_crawled
孰,孰,shu2,ai; cái nào; gì,,,,[],[],not_crawled
孰優孰劣,孰优孰劣,shu2 you1 shu2 lie4,cái nào trong hai cái tốt hơn?,,,,[],[],not_crawled
孰料,孰料,shu2 liao4,ai mà ngờ?; ai có thể tưởng tượng?; không ngờ tới,,,,[],[],not_crawled
孰真孰假,孰真孰假,shu2 zhen1 shu2 jia3,cái gì là thật và cái gì là giả,,,,[],[],not_crawled
孱,孱,can4,dùng trong 孱頭|孱头[can4 tou5],,,,[],[],not_crawled
孱,孱,chan2,yếu; yếu ớt,,,,[],[],not_crawled
孱弱,孱弱,chan2 ruo4,mỏng manh; yếu đuối; bất lực; yếu,,,,[],[],not_crawled
孱頭,孱头,can4 tou5,(tiếng địa phương) kẻ yếu đuối; kẻ hèn nhát,,,,[],[],not_crawled
孳,孳,zi1,chăm chỉ; sản xuất; sinh ra,,,,[],[],not_crawled
孳乳,孳乳,zi1 ru3,"sinh sôi (loại, khó khăn); sinh sản; phát sinh (hợp chất)",,,,[],[],not_crawled
孳孳,孳孳,zi1 zi1,biến thể của 孜孜[zi1 zi1],,,,[],[],not_crawled
孳息,孳息,zi1 xi1,"lãi (từ đầu tư, đặc biệt là quỹ tài trợ)",,,,[],[],not_crawled
孳生,孳生,zi1 sheng1,sinh sản; sinh sôi,,,,[],[],not_crawled
孵,孵,fu1,sinh sản; ấp; trứng nở,,,,[],[],not_crawled
孵化,孵化,fu1 hua4,sinh sản; ấp; đổi mới (đặc biệt trong thương mại và tiếp thị),,,,[],[],not_crawled
孵化器,孵化器,fu1 hua4 qi4,máy ấp trứng (cho trứng hoặc doanh nghiệp khởi nghiệp),,,,[],[],not_crawled
孵化場,孵化场,fu1 hua4 chang3,"nhà ấp trứng; trại ấp (cho gia cầm, v.v.)",,,,[],[],not_crawled
孵化期,孵化期,fu1 hua4 qi1,thời kỳ ấp; thời gian để phát triển,,,,[],[],not_crawled
孵卵,孵卵,fu1 luan3,ấp trứng; ấp,,,,[],[],not_crawled
孵育,孵育,fu1 yu4,ấp ủ; nuôi (gà con),,,,[],[],not_crawled
孵蛋,孵蛋,fu1 dan4,ấp trứng,,,,[],[],not_crawled
孶,孶,zi1,biến thể cũ của 孳[zi1],,,,[],[],not_crawled
學,学,xue2,học; học tập; bắt chước; khoa học; hậu tố - môn khoa học,,,,[],[],not_crawled
學乖,学乖,xue2 guai1,học từ kinh nghiệm (khẩu ngữ),,,,[],[],not_crawled
學人,学人,xue2 ren2,học giả; người có học,,,,[],[],not_crawled
學以致用,学以致用,xue2 yi3 zhi4 yong4,học để áp dụng,,,,[],[],not_crawled
學位,学位,xue2 wei4,bằng cấp học thuật; chỗ trong trường,,,,[],[],not_crawled
學位論文,学位论文,xue2 wei4 lun4 wen2,luận văn; luận án,,,,[],[],not_crawled
學位證書,学位证书,xue2 wei4 zheng4 shu1,bằng tốt nghiệp (cho một học vị); chứng chỉ học vị,,,,[],[],not_crawled
學分,学分,xue2 fen1,tín chỉ khóa học,,,,[],[],not_crawled
學分制,学分制,xue2 fen1 zhi4,"hệ thống tín chỉ; hệ thống chấm điểm (trong trường học, đại học, v.v.)",,,,[],[],not_crawled
學分小時,学分小时,xue2 fen1 xiao3 shi2,giờ tín chỉ (trong hệ thống tín chỉ); xem thêm 學分制|学分制[xue2 fen1 zhi4],,,,[],[],not_crawled
學到,学到,xue2 dao4,học được (điều gì đó); tìm hiểu về,,,,[],[],not_crawled
學制,学制,xue2 zhi4,hệ thống giáo dục; thời gian học,,,,[],[],not_crawled
學前教育,学前教育,xue2 qian2 jiao4 yu4,giáo dục mầm non; giáo dục thời thơ ấu,,,,[],[],not_crawled
學前班,学前班,xue2 qian2 ban1,lớp mầm non,,,,[],[],not_crawled
學力,学力,xue2 li4,học lực,,,,[],[],not_crawled
學區,学区,xue2 qu1,khu học chánh,,,,[],[],not_crawled
學名,学名,xue2 ming2,tên khoa học; tên Latin (của thực vật hoặc động vật); (theo hệ thống danh pháp cũ) tên cá nhân trang trọng được đặt cho học sinh mới nhập học,,,,[],[],not_crawled
學名藥,学名药,xue2 ming2 yao4,thuốc generic; thuốc gốc,,,,[],[],not_crawled
學員,学员,xue2 yuan2,học viên; thành viên của một cơ sở giáo dục; học viên sĩ quan,,,,[],[],not_crawled
學問,学问,xue2 wen4,học vấn; kiến thức,,,,[],[],not_crawled
學園,学园,xue2 yuan2,học viện; khuôn viên,,,,[],[],not_crawled
學堂,学堂,xue2 tang2,trường học; trường (cũ),,,,[],[],not_crawled
學報,学报,xue2 bao4,"tạp chí học thuật; Tạp chí, Bản tin, v.v.",,,,[],[],not_crawled
學壞,学坏,xue2 huai4,theo gương xấu; bị ảnh hưởng xấu,,,,[],[],not_crawled
學士,学士,xue2 shi4,bằng cử nhân; người có bằng đại học,,,,[],[],not_crawled
學士學位,学士学位,xue2 shi4 xue2 wei4,bằng cử nhân,,,,[],[],not_crawled
學好,学好,xue2 hao3,noi gương tốt,,,,[],[],not_crawled
學如逆水行舟，不進則退,学如逆水行舟，不进则退,"xue2 ru2 ni4 shui3 xing2 zhou1 , bu4 jin4 ze2 tui4","học như chèo thuyền ngược nước, không tiến ắt lùi",,,,[],[],not_crawled
學妹,学妹,xue2 mei4,em gái học cùng trường hoặc khóa sau,,,,[],[],not_crawled
學姐,学姐,xue2 jie3,chị gái học cùng trường hoặc khóa trên,,,,[],[],not_crawled
學子,学子,xue2 zi3,(văn học) học sinh; học giả,,,,[],[],not_crawled
學富五車,学富五车,xue2 fu4 wu3 che1,uyên bác và học vấn sâu rộng (thành ngữ),,,,[],[],not_crawled
學年,学年,xue2 nian2,năm học,,,,[],[],not_crawled
學府,学府,xue2 fu3,cơ sở giáo dục,,,,[],[],not_crawled
學弟,学弟,xue2 di4,em trai hoặc nam sinh khóa dưới,,,,[],[],not_crawled
學徒,学徒,xue2 tu2,người học việc; thực tập sinh,,,,[],[],not_crawled
學摸,学摸,xue2 mo5,biến thể của 踅摸[xue2 mo5],,,,[],[],not_crawled
學時,学时,xue2 shi2,giờ học; tiết học,,,,[],[],not_crawled
學會,学会,xue2 hui4,học; thành thạo; viện; hội học thuật; hiệp hội (học thuật),,,,[],[],not_crawled
學會院士,学会院士,xue2 hui4 yuan4 shi4,viện sĩ; thành viên học viện,,,,[],[],not_crawled
學期,学期,xue2 qi1,học kỳ,,,,[],[],not_crawled
學校,学校,xue2 xiao4,trường học; Lượng từ: 所[suo3],,,,[],[],not_crawled
學業,学业,xue2 ye4,việc học; tình hình học tập,,,,[],[],not_crawled
學業有成,学业有成,xue2 ye4 you3 cheng2,thành công trong việc học; thành công học tập,,,,[],[],not_crawled
學樣,学样,xue2 yang4,làm theo; bắt chước ví dụ của ai đó,,,,[],[],not_crawled
學步,学步,xue2 bu4,"học đi; (nghĩa bóng) học cái gì đó, tiến bộ không vững; chập chững bắt đầu học",,,,[],[],not_crawled
學步車,学步车,xue2 bu4 che1,xe tập đi; khung tập đi cho trẻ,,,,[],[],not_crawled
學歷,学历,xue2 li4,nền tảng giáo dục; trình độ học vấn,,,,[],[],not_crawled
學派,学派,xue2 pai4,trường phái tư tưởng,,,,[],[],not_crawled
學海,学海,xue2 hai3,biển học; người uyên bác; người có tri thức; học vấn,,,,[],[],not_crawled
學海泛舟,学海泛舟,xue2 hai3 fan4 zhou1,lướt trên biển học (thành ngữ),,,,[],[],not_crawled
學海無涯,学海无涯,xue2 hai3 wu2 ya2,"biển học vô bờ (thành ngữ); không có giới hạn cho những gì còn phải học; nghệ thuật dài lâu, cuộc sống ngắn ngủi",,,,[],[],not_crawled
學渣,学渣,xue2 zha1,"(khẩu ngữ) học sinh không nhiệt tình, trung bình; người học kém",,,,[],[],not_crawled
學測,学测,Xue2 ce4,viết tắt của 大學學科能力測驗|大学学科能力测验[Da4 xue2 Xue2 ke1 Neng2 li4 Ce4 yan4],,,,[],[],not_crawled
學潮,学潮,xue2 chao2,biểu tình sinh viên; bất ổn trong khuôn viên trường,,,,[],[],not_crawled
學無止境,学无止境,xue2 wu2 zhi3 jing4,học không bao giờ hết (thành ngữ); luôn có gì đó mới để học; Sống là học.,,,,[],[],not_crawled
學然後知不足,学然后知不足,xue2 ran2 hou4 zhi1 bu4 zu2,học rồi mới biết mình thiếu sót (Lễ Ký 禮記|礼记[Li3 ji4]),,,,[],[],not_crawled
學理,学理,xue2 li3,nguyên lý khoa học; quan điểm lý thuyết,,,,[],[],not_crawled
學生,学生,xue2 sheng5,học sinh; trẻ đi học,,,,[],[],not_crawled
學生t檢驗,学生t检验,Xue2 sheng5 ti4 jian3 yan4,(thống kê) kiểm định t của Student,,,,[],[],not_crawled
學生會,学生会,xue2 sheng5 hui4,hội sinh viên,,,,[],[],not_crawled
學生證,学生证,xue2 sheng5 zheng4,thẻ sinh viên,,,,[],[],not_crawled
學生運動,学生运动,xue2 sheng5 yun4 dong4,phong trào sinh viên,,,,[],[],not_crawled
學甲,学甲,Xue2 jia3,"thị trấn Xuejia ở huyện Đài Nam 台南縣|台南县[Tai2 nan2 xian4], Đài Loan",,,,[],[],not_crawled
學甲鎮,学甲镇,Xue2 jia3 zhen4,"thị trấn Xuejia ở huyện Đài Nam 台南縣|台南县[Tai2 nan2 xian4], Đài Loan",,,,[],[],not_crawled
學界,学界,xue2 jie4,giới học thuật; giới học giả; học giới,,,,[],[],not_crawled
學監,学监,xue2 jian1,quan chức nhà trường chịu trách nhiệm giám sát học sinh (cũ),,,,[],[],not_crawled
學科,学科,xue2 ke1,môn học; ngành học; khóa học; ngành học thuật,,,,[],[],not_crawled
學究,学究,xue2 jiu1,mọt sách,,,,[],[],not_crawled
學童,学童,xue2 tong2,trẻ em trong độ tuổi đi học,,,,[],[],not_crawled
